Lead_Id,Within24,Within48,Within72,WithinWeek,WithinWeeks,WithinMonth,ContactByEmail,ContactByTelephone,DistanceToDealer,Car Value,LeadProvider_Id,Status,Manufacturer,Model,TradeInModelYear,City,State
794,0,0,0,0,0,1,0,1,50.91,4510,LP009,NEW,Acura,TL,2001,North Pole,AK
994,0,0,0,0,1,0,0,1,12.4,6822,LP002,NEW,BMW,X6,2003,Foley,AL
961,0,0,0,0,1,0,0,1,27.264,2649,LP005,NEW,Volvo,C30,1996,Los Angeles,CA
891,0,0,0,0,0,0,0,1,8.77,8169,LP003,NEW,Toyota,Camry,2001,Foley,AL
192,0,0,0,0,1,0,0,1,50.45,9040,LP003,USED,Audi,A4,1999,Foley,AL
512,0,0,0,0,0,1,0,1,27.264,8331,LP006,NEW,BMW,Z4,2006,Globe,AZ
951,0,0,0,0,1,0,0,1,51.54,3853,LP001,NEW,Suzuki,Aerio,1998,Albany,NY
1217,0,0,0,0,1,0,0,1,52.13,8388,LP007,NEW,Acura,RL,2006,Courtland,CA
508,0,0,0,0,1,0,0,1,55.49,3051,LP001,NEW,Toyota,Highlander,2008,New York,NY
326,0,0,0,0,1,0,0,1,51.12,6860,LP006,NEW,Infiniti,G35,2007,Meas,AZ
995,0,0,0,1,0,0,0,1,87.62,3279,LP002,USED,Suzuki,XL7,2008,Elberta,AL
799,0,0,0,1,0,0,0,1,52.67,5435,LP005,NEW,Toyota,Camry,2007,New York,NY
522,0,0,0,0,0,0,0,1,850.48,7715,LP003,USED,Infiniti,G37,1999,Payson,AZ
249,0,0,0,0,1,0,0,1,39.25,6643,LP005,NEW,BMW,7 Series,2002,Meas,AZ
558,0,0,0,0,0,1,0,1,36.58,2640,LP010,NEW,Lotus,L2,2006,Wassila,AK
1041,0,0,0,0,0,1,0,1,27.43,7373,LP010,NEW,Audi,A6,1997,Foley,AL
1216,0,0,0,0,0,0,0,1,67.46,3489,LP009,USED,Suzuki,XL7,1996,Pell City,AL
682,0,0,0,0,1,0,0,1,27.264,8196,LP005,NEW,Toyota,Avalon,2000,Las Vegas,NM
386,0,0,0,0,0,1,0,1,44.07,2403,LP008,NEW,Lexus,ES,2005,Hondo,NM
104,0,0,0,0,0,1,0,1,40.03,9179,LP006,NEW,Volvo,C70,1998,Payson,AZ
972,0,0,0,0,0,1,0,1,38.06,9692,LP006,NEW,Lotus,L2,1997,Los Angeles,CA
560,0,0,0,0,0,1,0,1,43.27,4972,LP006,NEW,Infiniti,QX4,1998,New York,NY
793,0,0,0,0,0,1,0,1,29.03,6326,LP005,NEW,Volvo,C30,2003,Marion,AR
107,0,0,0,0,0,1,0,1,28.6,6230,LP001,NEW,Infiniti,QX4,1997,Elberta,AL
108,0,0,0,0,0,1,0,1,33.43,6874,LP001,NEW,Hyundai,Sonata,1997,Las Vegas,NM
973,0,0,0,0,0,1,0,1,28.63,8385,LP010,NEW,Toyota,Camry,2001,Farmington,NM
861,0,0,0,0,0,1,0,1,33.15,4943,LP008,NEW,Lotus,L1,1997,Payson,AZ
428,0,0,0,0,0,1,0,1,29.63,3841,LP005,NEW,Jaguar,XF,2000,Meas,AZ
854,0,0,0,0,0,0,0,1,212.85,7017,LP007,NEW,Toyota,Highlander,2008,Pell City,AL
167,0,0,0,0,0,0,0,1,219.93,6790,LP008,USED,Toyota,Highlander,1999,Lake City,AR
892,0,0,0,1,0,0,0,1,1134.1,3185,LP002,USED,BMW,Z4,1996,San Francisco,CA
974,0,0,0,0,0,0,0,1,176.46,5788,LP001,NEW,Ferrari,F2,2006,Farmington,NM
975,0,0,0,0,0,1,0,1,35.5,6907,LP003,NEW,Audi,A6,2005,Meas,AZ
800,0,0,0,0,0,0,0,1,140.22,2552,LP008,NEW,BMW,Z4,2003,Elberta,AL
612,0,0,0,0,0,0,0,1,50.28,3652,LP002,NEW,Chevrolet,Silverado,2003,Marion,AR
683,0,0,0,0,0,0,0,1,1326.63,9113,LP005,NEW,Honda,Fit,2000,Elberta,AL
976,0,0,0,0,0,0,0,1,145.94,4097,LP010,USED,Lotus,L1,2005,North Pole,AK
404,0,0,0,0,0,0,0,1,44.67,9236,LP005,NEW,Ferrari,F2,2002,Conway,AR
451,0,0,0,0,0,0,0,1,36.51,5306,LP005,NEW,Lotus,L2,2004,Los Angeles,CA
148,0,0,0,0,0,0,0,1,29.14,8554,LP010,NEW,Acura,RL,2002,Valencia,CA
681,0,0,0,0,0,0,0,1,2639.64,7503,LP007,NEW,Jaguar,S-Type,2005,New York,NY
952,0,0,0,0,1,0,0,1,31.95,9839,LP004,NEW,Volvo,S60,1998,Globe,AZ
862,0,0,0,0,0,1,0,1,53.55,3063,LP004,NEW,Ferrari,F2,1999,Globe,AZ
592,0,0,0,0,1,0,0,1,128.94,2995,LP009,NEW,Honda,Accord2,2001,North Pole,AK
362,0,0,0,0,0,1,0,1,28.49,7736,LP005,NEW,Suzuki,Reno,1998,Farmington,NM
791,0,0,0,0,0,1,0,1,50.61,7394,LP004,NEW,Honda,Accord2,2006,San Francisco,CA
1214,0,0,0,0,0,1,0,1,35.89,7286,LP001,NEW,Suzuki,Aerio,1999,Elberta,AL
1215,0,0,0,0,0,0,0,1,80.42,8500,LP007,NEW,Toyota,Avalon,2001,North Pole,AK
977,0,0,0,0,0,0,0,1,144.53,7359,LP004,NEW,Suzuki,XL7,1999,Hondo,NM
792,0,0,0,0,0,0,0,1,51.01,7582,LP007,NEW,Jaguar,X-Type,2008,Lake City,AR
109,0,0,0,0,1,0,0,1,32.36,7436,LP004,NEW,Jaguar,X-Type,2001,Wassila,AK
110,0,0,0,0,0,0,0,1,38.1,5628,LP001,NEW,Toyota,Highlander,1996,Courtland,CA
801,0,0,0,0,0,0,0,1,29.04,7163,LP001,NEW,Suzuki,Aerio,2006,Wassila,AK
513,0,0,0,0,0,0,0,1,2526.16,9982,LP010,NEW,Mercedes Benz,C Class,2001,San Francisco,CA
523,0,0,0,1,0,0,0,1,235.42,6166,LP005,USED,Chevrolet,TrailBlazer,2004,Payson,AZ
327,0,1,0,0,0,0,0,1,53.14,2035,LP010,NEW,BMW,Z4,2005,Albany,NY
1042,0,0,0,1,0,0,0,1,1250.92,6032,LP007,USED,Hyundai,Accent,1996,Wassila,AK
1271,0,0,0,0,0,0,0,1,49.5,6602,LP007,NEW,Honda,Accord1,2008,Hondo,NM
978,0,0,0,0,1,0,0,1,51.43,3519,LP010,USED,BMW,3 Series,1998,San Francisco,CA
195,0,0,0,0,0,1,0,1,15.9,5542,LP010,NEW,Hyundai,Accent,2004,Globe,AZ
155,0,0,0,0,0,1,0,1,27.264,9828,LP007,NEW,Suzuki,Aerio,2006,Globe,AZ
1272,0,0,0,0,0,1,0,1,27.264,4156,LP009,NEW,Toyota,Highlander,1998,San Francisco,CA
979,0,0,0,0,0,1,0,1,27.264,7376,LP008,NEW,Acura,RL,2006,Wassila,AK
855,0,0,0,0,1,0,0,1,19.68,8297,LP005,USED,Audi,A6,2007,Las Vegas,NM
684,0,0,0,0,0,1,0,1,22.53,5885,LP001,NEW,Jaguar,XF,2000,Lake City,AR
557,0,0,0,0,0,1,0,1,15.59,3895,LP001,NEW,Audi,A3,2006,Courtland,CA
680,0,0,0,0,0,1,0,1,16.41,3132,LP007,NEW,BMW,7 Series,2000,Globe,AZ
191,0,0,0,0,0,1,0,1,12.35,6039,LP010,NEW,Volvo,S60,2000,Meas,AZ
507,0,0,0,0,0,1,0,1,27.264,7725,LP005,NEW,Acura,TL,2007,Valencia,CA
893,0,0,0,0,0,1,0,1,27.264,6667,LP007,NEW,Honda,Accord2,1998,New York,NY
804,0,0,0,0,0,1,1,0,10.69,6859,LP002,NEW,Honda,Accord1,1996,Conway,AR
196,0,0,0,0,1,0,0,1,47.48,8073,LP008,USED,Toyota,Avalon,2006,Meas,AZ
962,0,0,0,0,0,1,0,1,17.88,6175,LP004,NEW,Jaguar,S-Type,2004,Elberta,AL
803,0,0,0,0,0,1,0,1,22.08,9671,LP003,NEW,BMW,3 Series,1997,Conway,AR
387,0,0,0,0,0,1,0,1,27.264,5040,LP006,NEW,Suzuki,XL7,2008,Globe,AZ
980,0,0,0,0,0,1,0,1,27.264,4461,LP008,NEW,Audi,A3,1997,Valencia,CA
981,0,0,0,0,0,1,0,1,42.52,2724,LP010,NEW,Audi,A3,2001,New York,NY
1213,0,0,0,0,0,1,0,1,10.12,6662,LP009,NEW,Mercedes Benz,E Class,2006,New York,NY
863,0,0,0,0,1,0,0,1,5.04,3463,LP001,NEW,Mercedes Benz,C Class,1998,Hondo,NM
789,0,0,0,0,0,1,0,1,28.93,4509,LP001,NEW,Honda,Accord1,2003,Courtland,CA
802,0,0,0,0,0,1,0,1,37.36,8590,LP005,NEW,Audi,A8,2008,Meas,AZ
790,0,0,0,0,0,1,0,1,46.48,2155,LP010,NEW,BMW,7 Series,2001,Farmington,NM
996,0,0,0,0,0,1,0,1,46.79,3170,LP006,NEW,Lotus,L1,1997,Lake City,AR
7,0,0,0,0,0,1,0,1,40.57,6506,LP008,NEW,Toyota,Highlander,2007,Valencia,CA
111,0,0,0,0,0,1,0,1,29.29,4649,LP004,NEW,Suzuki,Aerio,1997,Elberta,AL
856,0,0,0,0,0,1,0,1,33.5,2706,LP002,NEW,Honda,Fit,2003,Wassila,AK
114,0,0,0,0,0,1,0,1,47.31,4807,LP001,NEW,Volvo,C70,2006,Marion,AR
115,0,0,0,0,0,1,0,1,35.5,6633,LP008,NEW,Lexus,ES,2003,San Francisco,CA
613,0,0,0,0,0,1,0,1,35.15,4149,LP003,NEW,Acura,TSX,1999,Albany,NY
429,0,0,0,0,0,1,0,1,38.39,4114,LP008,NEW,Acura,TSX,2008,North Pole,AK
405,0,0,0,0,0,1,0,1,9.68,8564,LP009,NEW,Acura,RL,2000,Las Vegas,NM
227,0,0,0,0,0,1,0,1,9.87,2289,LP004,NEW,Acura,TL,2006,New York,NY
561,0,0,0,0,0,1,0,1,31.85,9697,LP004,NEW,Acura,TL,2002,Los Angeles,CA
953,0,0,0,0,0,1,0,1,19.32,9262,LP002,NEW,Audi,A8,2008,Albany,NY
193,0,0,0,0,0,1,0,1,27.264,8512,LP002,NEW,Suzuki,Aerio,2006,San Francisco,CA
452,0,0,0,0,0,1,0,1,27.264,9774,LP008,NEW,Jaguar,XF,2004,Globe,AZ
156,0,0,0,0,1,0,0,1,51.24,5224,LP009,NEW,Lotus,L1,2004,Marion,AR
679,0,0,0,0,0,1,0,1,9.76,6200,LP007,NEW,Lotus,L1,2004,Farmington,NM
593,0,0,0,0,0,1,0,1,6.99,4504,LP010,NEW,Audi,A6,1996,Hondo,NM
894,0,0,0,0,0,1,0,1,2.36,5914,LP003,NEW,Jaguar,S-Type,2008,Meas,AZ
168,0,1,0,0,0,0,0,1,42.84,6197,LP006,NEW,Honda,Accord2,1996,Los Angeles,CA
112,0,0,0,0,0,0,0,1,31.11,3483,LP010,NEW,BMW,3 Series,1996,Meas,AZ
250,0,0,0,1,0,0,0,1,65.56,3520,LP009,USED,Toyota,Avalon,2000,Courtland,CA
506,0,0,0,0,0,0,0,1,30.57,2174,LP006,NEW,BMW,Z4,2001,San Francisco,CA
805,0,0,0,0,0,1,0,1,39.75,7573,LP003,NEW,Acura,RL,2003,Foley,AL
293,0,0,0,0,0,1,0,1,32.09,8233,LP008,NEW,Volvo,S60,2003,Albany,NY
857,0,0,0,0,0,1,0,1,29.31,2063,LP006,NEW,Acura,RL,1997,Payson,AZ
982,0,0,0,0,0,1,0,1,51.68,7505,LP005,NEW,Chevrolet,Silverado,2006,Las Vegas,NM
788,0,0,0,0,0,1,0,1,34.72,6542,LP003,NEW,Lexus,LS,2003,Foley,AL
524,0,0,0,0,0,1,0,1,30.69,9321,LP001,NEW,Audi,A3,1997,Elberta,AL
1210,0,0,0,0,0,1,0,1,30.82,5782,LP002,NEW,Toyota,Corolla,2005,Courtland,CA
963,0,0,0,0,0,1,0,1,44.62,5900,LP006,NEW,Chevrolet,Suburban,2005,Courtland,CA
1211,0,0,0,0,0,1,0,1,46.65,5744,LP003,NEW,Honda,Accord2,2006,Meas,AZ
1212,0,0,0,1,0,0,0,1,29.15,8588,LP004,NEW,Volvo,C30,1999,Farmington,NM
113,0,0,0,0,0,0,0,1,29.83,3769,LP004,NEW,Ferrari,F1,2003,Globe,AZ
983,0,0,0,0,0,0,0,1,41.84,6522,LP006,NEW,BMW,3 Series,1998,San Francisco,CA
864,0,0,0,0,0,1,0,1,33.6,9302,LP003,USED,Toyota,Corolla,2000,Courtland,CA
116,0,0,0,0,0,1,0,1,3.44,5011,LP003,NEW,Audi,A6,2008,Farmington,NM
594,0,0,0,0,0,1,0,1,40.01,9198,LP007,NEW,Lexus,ES,2000,New York,NY
997,0,0,0,0,0,1,0,1,54.45,3689,LP006,NEW,Lexus,LS,2008,Globe,AZ
678,0,0,0,0,0,1,0,1,44.69,2290,LP005,NEW,Audi,A3,2005,North Pole,AK
685,0,0,0,0,0,1,0,1,38.5,7543,LP005,NEW,Chevrolet,TrailBlazer,1996,Meas,AZ
406,0,0,0,0,0,1,0,1,27.27,9070,LP009,NEW,Ferrari,F1,2004,Meas,AZ
858,0,0,0,0,0,1,0,1,33.38,6090,LP005,NEW,Mercedes Benz,C Class,2003,Las Vegas,NM
806,0,0,0,0,0,1,0,1,38.89,3560,LP010,NEW,Toyota,Highlander,1996,Pell City,AL
954,0,0,0,0,1,0,0,1,38.23,6051,LP009,NEW,Toyota,Avalon,2004,Payson,AZ
895,0,0,0,0,1,0,0,1,36.63,3759,LP010,NEW,Audi,A3,1998,Courtland,CA
614,0,0,0,0,0,1,0,1,42.01,6075,LP007,USED,Hyundai,Sonata,2002,Pell City,AL
1043,0,0,0,0,0,1,0,1,20.06,9804,LP010,NEW,Ferrari,F2,2000,Valencia,CA
984,0,0,0,0,0,1,0,1,31.69,4020,LP006,NEW,Audi,A8,2005,San Francisco,CA
1208,0,0,0,0,0,1,0,1,43.08,3426,LP003,NEW,Honda,Accord1,2000,Elberta,AL
1209,0,0,0,0,0,1,0,1,39.76,3465,LP006,NEW,Jaguar,XF,2002,Los Angeles,CA
786,0,0,0,0,0,1,0,1,32.17,4422,LP007,NEW,Jaguar,XF,2002,Las Vegas,NM
294,0,0,0,0,0,1,0,1,16.47,2700,LP006,NEW,Acura,TL,2008,San Francisco,CA
1207,0,0,0,0,0,1,0,1,26.79,3069,LP001,NEW,Audi,A6,2002,Conway,AR
251,0,0,0,0,0,1,0,1,27.264,9880,LP004,NEW,Mercedes Benz,C Class,2008,Foley,AL
964,0,0,0,0,0,1,0,1,19.45,3862,LP007,NEW,Honda,Fit,2008,Payson,AZ
998,0,0,0,0,0,1,0,1,21.48,9118,LP006,NEW,Volvo,S60,2002,Payson,AZ
859,0,0,0,0,0,1,0,1,27.264,5561,LP007,NEW,Suzuki,XL7,2007,Lake City,AR
955,0,1,0,0,0,0,0,1,88.35,8828,LP008,NEW,Honda,Accord2,1997,San Francisco,CA
787,0,0,0,1,0,0,0,1,84.83,2900,LP006,USED,Audi,A6,2001,Farmington,NM
865,0,1,0,0,0,0,0,1,33.65,6921,LP005,NEW,Ferrari,F2,2001,Pell City,AL
562,0,0,0,0,0,1,0,1,3.55,8560,LP007,NEW,BMW,X6,2001,Payson,AZ
1205,0,0,0,0,0,1,0,1,4.96,5251,LP005,NEW,Hyundai,Sonata,2001,San Francisco,CA
985,0,0,0,0,0,1,0,1,5.97,8296,LP008,NEW,Ferrari,F1,2003,Albany,NY
505,0,0,0,0,0,1,0,1,7.49,4356,LP005,NEW,Suzuki,XL7,2007,Pell City,AL
595,0,0,0,0,0,1,0,1,5.2,5302,LP003,NEW,Audi,A8,2003,Albany,NY
117,0,0,0,0,0,1,0,1,31.98,6279,LP001,NEW,Lotus,L2,2006,Los Angeles,CA
514,0,0,0,0,0,1,0,1,27.85,5836,LP001,NEW,Audi,A6,2008,Las Vegas,NM
118,0,0,0,0,0,1,0,1,36.38,3774,LP006,NEW,Chevrolet,TrailBlazer,2007,Courtland,CA
157,0,0,0,0,0,1,0,1,42.06,6929,LP002,NEW,Toyota,Avalon,1996,Lake City,AR
430,0,0,0,0,0,1,0,1,41.48,4785,LP003,NEW,Jaguar,XF,1997,San Francisco,CA
999,0,0,0,0,0,1,0,1,27.31,9965,LP001,NEW,Lotus,L1,1996,New York,NY
807,0,0,0,0,0,1,0,1,29.2,3811,LP005,NEW,Volvo,C30,2008,Pell City,AL
986,0,0,0,0,0,1,0,1,31.43,9001,LP003,NEW,Honda,Fit,1997,New York,NY
677,0,0,0,0,0,1,0,1,29.18,7504,LP007,NEW,Lexus,ES,2007,Pell City,AL
228,0,0,0,0,0,1,0,1,47.05,7366,LP009,NEW,Jaguar,S-Type,2007,Wassila,AK
363,0,0,0,0,0,1,0,1,31.8,6443,LP008,NEW,Toyota,Highlander,2000,Las Vegas,NM
1206,0,0,0,0,0,1,0,1,39.49,6393,LP007,NEW,Acura,TSX,2008,Courtland,CA
896,0,0,0,0,0,0,0,1,1070.68,2266,LP010,NEW,Mercedes Benz,C Class,2001,Pell City,AL
1000,0,0,0,1,0,0,0,1,87.65,9576,LP007,USED,Infiniti,G37,2008,Pell City,AL
866,0,1,0,0,0,0,0,1,46.38,8503,LP003,USED,Lexus,LS,1998,Conway,AR
556,0,0,0,0,1,0,0,1,41.74,6239,LP002,NEW,Lexus,LS,1998,Payson,AZ
197,0,0,0,0,1,0,0,1,61.1,8199,LP002,NEW,Toyota,Highlander,2002,Albany,NY
169,0,0,0,0,0,1,0,1,4.15,5970,LP003,NEW,Volvo,C30,2006,North Pole,AK
860,0,0,0,0,1,0,0,1,30.24,3772,LP010,USED,Ferrari,F2,1997,Globe,AZ
615,0,0,0,0,1,0,0,1,32.99,6993,LP010,NEW,BMW,3 Series,1999,Payson,AZ
1001,0,0,0,0,1,0,0,1,33.06,2528,LP002,USED,Toyota,Avalon,1997,Hondo,NM
252,0,0,0,0,0,1,0,1,30.68,3798,LP010,NEW,Volvo,C30,2004,Payson,AZ
1002,0,0,0,0,0,1,0,1,43.05,4873,LP007,NEW,Hyundai,Accent,2007,Farmington,NM
453,0,0,0,0,0,1,0,1,28.56,8647,LP009,NEW,Toyota,Highlander,2006,Globe,AZ
686,0,0,0,0,0,1,0,1,28.29,8628,LP007,NEW,Volvo,S60,2003,Farmington,NM
956,0,0,0,0,1,0,0,1,34.14,3342,LP003,NEW,Honda,Accord1,2004,Globe,AZ
782,0,0,0,0,0,1,0,1,27.264,2596,LP010,NEW,BMW,Z4,2004,Meas,AZ
808,0,0,0,0,0,1,0,1,36.07,9789,LP002,NEW,Chevrolet,Suburban,2000,Valencia,CA
987,0,0,0,0,0,1,0,1,183.57,9320,LP005,NEW,BMW,X6,2004,Elberta,AL
785,0,0,0,1,0,0,0,1,1025.6,8671,LP007,NEW,Lexus,LS,1998,Farmington,NM
1003,0,0,0,1,0,0,0,1,86.43,4607,LP006,USED,Mercedes Benz,E Class,2004,Albany,NY
1202,0,0,0,0,0,1,0,1,27.264,3260,LP004,NEW,Infiniti,QX4,1996,North Pole,AK
563,0,0,0,1,0,0,0,1,114.69,5225,LP010,USED,Audi,A6,1998,Marion,AR
1004,0,0,0,0,0,1,0,1,31.41,3875,LP005,NEW,Acura,TL,2005,Wassila,AK
158,0,0,0,0,0,1,0,1,29.28,3707,LP010,NEW,Honda,Accord2,2007,Meas,AZ
1005,0,0,0,0,0,1,0,1,28.45,2927,LP010,NEW,Infiniti,G37,2000,Pell City,AL
783,0,0,0,0,0,1,0,1,33.16,6988,LP003,NEW,Ferrari,F2,2001,Conway,AR
1006,0,0,0,0,0,1,0,1,28.75,9946,LP010,NEW,BMW,3 Series,2007,Payson,AZ
1203,0,0,0,0,0,1,0,1,30.39,2224,LP007,NEW,BMW,X6,2001,Los Angeles,CA
1204,0,0,0,0,0,1,0,1,27.264,2617,LP001,NEW,Toyota,Corolla,2001,Conway,AR
897,0,0,0,0,0,1,0,1,10.9,9844,LP005,NEW,Suzuki,Reno,2008,San Francisco,CA
515,0,0,0,0,0,0,0,1,43.66,8824,LP007,NEW,Audi,A8,2007,Payson,AZ
784,0,0,0,0,0,0,0,1,893.3,5729,LP006,NEW,Ferrari,F2,2003,Los Angeles,CA
988,0,0,0,1,0,0,0,1,52.81,7624,LP003,NEW,Audi,A3,1999,Albany,NY
809,0,0,0,0,0,1,0,1,3.91,3743,LP002,NEW,Audi,A6,2006,Pell City,AL
676,0,0,0,0,1,0,0,1,36.63,6609,LP010,NEW,BMW,7 Series,2002,Valencia,CA
1044,0,0,0,0,1,0,0,1,32.76,5931,LP010,NEW,Chevrolet,Silverado,1996,Pell City,AL
119,0,0,0,0,1,0,0,1,28.5,3011,LP006,NEW,Infiniti,G35,1997,Globe,AZ
781,0,0,0,0,1,0,0,1,33.36,7626,LP004,NEW,Ferrari,F2,2005,Globe,AZ
596,0,0,0,0,1,0,0,1,46.67,5647,LP007,USED,Volvo,S60,2001,Farmington,NM
525,0,0,0,0,1,0,0,1,42.39,4963,LP001,NEW,BMW,3 Series,1999,Albany,NY
295,0,0,0,0,1,0,0,1,31.58,7857,LP002,NEW,Toyota,Corolla,2007,Lake City,AR
957,0,0,0,0,1,0,0,1,38.14,3824,LP002,NEW,Infiniti,G37,2008,Foley,AL
777,0,0,0,0,1,0,0,1,31.39,7563,LP007,NEW,Audi,A6,2004,Hondo,NM
989,0,0,0,0,1,0,0,1,37.88,3314,LP007,NEW,Lexus,LS,1999,Los Angeles,CA
811,0,0,0,0,1,0,0,1,27.44,6137,LP009,NEW,BMW,3 Series,2007,Courtland,CA
990,0,0,0,0,1,0,0,1,32.62,5719,LP001,USED,BMW,Z4,1997,Albany,NY
194,0,0,0,0,1,0,0,1,33.36,9453,LP003,NEW,Suzuki,XL7,2001,New York,NY
1199,0,0,0,0,0,0,0,1,682.37,7516,LP009,NEW,Lexus,ES,2002,Payson,AZ
1201,0,0,0,0,0,1,0,1,63.06,4416,LP005,NEW,Jaguar,S-Type,2005,Albany,NY
1200,0,0,0,0,0,1,0,1,42.48,6132,LP003,NEW,Toyota,Avalon,2005,North Pole,AK
965,0,0,0,0,0,1,0,1,10.01,2514,LP008,NEW,Toyota,Camry,2008,North Pole,AK
810,0,0,0,0,0,1,0,1,10.15,3158,LP003,NEW,Chevrolet,TrailBlazer,2007,Pell City,AL
1045,0,0,0,0,0,1,1,0,1.69,7811,LP008,NEW,Hyundai,Accent,2008,Marion,AR
388,0,0,0,0,0,1,0,1,27.27,2315,LP007,NEW,Honda,Accord2,1996,Elberta,AL
1007,0,0,0,0,0,1,0,1,47.42,9770,LP002,NEW,Infiniti,G35,1998,Conway,AR
1046,0,0,0,0,0,1,0,1,45.16,3911,LP008,NEW,Ferrari,F2,2000,Valencia,CA
867,0,0,0,0,1,0,0,1,49.63,5688,LP004,USED,Honda,Accord2,2007,New York,NY
328,0,0,0,0,1,0,0,1,33.9,6511,LP001,NEW,Acura,TL,2007,North Pole,AK
778,0,0,0,0,1,0,0,1,27.68,3651,LP001,NEW,Acura,TL,2007,Marion,AR
159,0,0,0,0,1,0,0,1,34.9,4108,LP010,USED,Toyota,Highlander,2002,Wassila,AK
504,0,1,0,0,0,0,0,1,36.71,2123,LP004,NEW,Acura,TSX,2002,Pell City,AL
616,0,0,0,1,0,0,0,1,30.9,8571,LP004,USED,Acura,TSX,2002,Conway,AR
812,0,0,0,0,1,0,0,1,84.29,7122,LP001,USED,Chevrolet,Suburban,1998,Foley,AL
454,0,0,0,0,0,1,0,1,28.23,3083,LP008,NEW,Mercedes Benz,C Class,1999,Lake City,AR
431,0,0,0,0,0,1,0,1,31.83,6568,LP001,NEW,Lotus,L2,2003,Courtland,CA
253,0,0,0,0,0,1,0,1,27.264,4876,LP007,NEW,Jaguar,S-Type,2002,Lake City,AR
